int						|6t
void					|5t
char					|5t
size_t					|5t
float					|5t

/*			BE CAREFUL	*/
long					|5t

double					|5t
short					|5t
signed					|5t
signed int				|4t
unsigned				|4t
short int				|4t
long double				|4t
signed char				|4t

/*			BE CAREFUL	*/
long long				|4t

long int				|4t
signed long				|4t
signed long int			|3t
unsigned long			|3t
long long int			|3t
unsigned char			|3t
signed short			|3t
unsigned short			|3t
unsigned int			|3t
unsigned long int		|2t
unsigned short int		|2t
signed short int		|2t
signed long long		|2t
unsigned long long		|2t
unsigned long long		|2t
unsigned long long int	|1t
signed long long int	|1t
